stock,name,year,month,price,sector,subsector,PE,P_FCF,ROA,ROC,ROE,OPROE,EPS_GROWTH,EBIT,EBIT_MARGIN
AGFB BB Equity,AGFA-GEVAERT NV,2019,1,3.386,Industrials,Electronic & Electrical Equipment,44.8667,24.0142,0.6515,6.2923,5.988,18.18,-80,29.848,4.9551
AGL IM Equity,AUTOGRILL SPA,2019,1,7.795,Consumer Services,Travel & Leisure,29.0219,83.6243,3.6027,7.8075,14.6521,13.216,-58.2992,27.810299999999998,3.3117
AGN NA Equity,AEGON NV,2019,1,4.558,Financials,Life Insurance,14.714,0.6159,0.6012,10.9115,11.3801,9.4215,302.1818,NA,NA
AGN US Equity,ALLERGAN PLC,2019,1,143.09,Health Care,Pharmaceuticals & Biotechnology,378.822,9.0033,-4.6304,-4.5284,-7.6853,-0.3676,99.0871,-5384.1,-39.5733
AGS BB Equity,AGEAS,2019,1,41.25,Financials,Life Insurance,9.907,34.794200000000004,0.8933,7.9696,9.8998,8.9029,189.0139,NA,NA
AI FP Equity,AIR LIQUIDE SA,2019,1,106.5,Basic Materials,Chemicals,21.3862,19.6582,5.566,7.6633,14.428,16.3874,8.2258,1821.7612,14.6041
AIBG ID Equity,AIB GROUP PLC,2019,1,4,Financials,Banks,9.8526,18.7175,1.217,4.7795,8.0373,10.3249,0,NA,NA
AIG US Equity,AMERICAN INTERNATIONAL GROUP,2019,1,42.49,Financials,Nonlife Insurance,44.2084,555.1334,-1.1993,-10.074,-9.223700000000001,3.2796,28.2723,NA,NA
AIR FP Equity,AIRBUS SE,2019,1,100,Industrials,Aerospace & Defense,25.4908,372.666,2.1568,12.2829,23.5378,33.8653,207.5,1749.552,5.5359
AIV US Equity,APARTMENT INVT & MGMT CO -A,2019,1,50.6933,Financials,Real Estate Investment Trusts,220.0938,405.211,14.9455,17.0587,55.6845,1.6789,3190.9091,46.954,16.771
AIXA GY Equity,AIXTRON SE,2019,1,8.5,Technology,Technology Hardware & Equipment,20.4883,197.0736,11.7662,14.824,14.8032,11.6454,170.7166,9.987599999999999,18.8594
AIZ US Equity,ASSURANT INC,2019,1,95.09,Financials,Life Insurance,16.3974,10.5049,1.421,9.7513,11.3184,8.5262,-50,NA,NA
AJG US Equity,ARTHUR J GALLAGHER & CO,2019,1,73,Financials,Nonlife Insurance,21.0366,21.3934,4.0552,10.2594,14.5057,15.1249,61.5607,79.7,8.9097
AKAM US Equity,AKAMAI TECHNOLOGIES INC,2019,1,64.85,Technology,Software & Computer Services,28.5714,17.9912,4.5268,5.8502,6.9527,9.6558,75.6757,116.537,10.1373
AKE FP Equity,ARKEMA,2019,1,84.44,Basic Materials,Chemicals,8.9328,15.610900000000001,7.1764,10.8344,15.5411,17.4728,21.2766,285.852,11.0203
AKS US Equity,AK STEEL HOLDING CORP,2019,1,2.9,Basic Materials,Industrial Metals & Mining,4.0456,4.3662,4.1377,15.0547,-35.5076,-0.4033,200,86.5,5.3445
AKZA NA Equity,AKZO NOBEL N.V.,2019,1,76.08,Basic Materials,Chemicals,42.4259,97.9937,5.5492,10.2426,14.2518,7.6366,20.8333,272.07599999999996,7.3232
AL IM Equity,ALLEANZA TORO SPA,2019,1,6.235,Financials,Life Insurance,31.6812,NA,0.684,6.5848,14.3455,13.6454,-88.2885,NA,NA
AL US Equity,AIR LEASE CORP,2019,1,38.28,Industrials,Industrial Transportation,8.2363,NA,5.196,7.5302,20.7398,12.0336,46.875,269.77,58.5914
ALAPIS GA Equity,ALAPIS HOLDING INDUSTRIAL,2019,1,0.04,Health Care,Pharmaceuticals & Biotechnology,121.4243,NA,-171.4254,NA,-154.1826,-43.9516,-1.6239,-645.942864,-1501.7592
ALB SQ Equity,CORPORACION FINANCIERA ALBA,2019,1,43.15,Financials,Financial Services,16.3318,NA,3.4449,3.691,3.6473,4.2808,86.1553,1.4832159999999999,NA
ALB US Equity,ALBEMARLE CORP,2019,1,80.74,Basic Materials,Chemicals,14.6206,3944.4114,4.6048,7.2522,9.3058,15.5399,13.0841,163.76,27.6108
ALBK ID Equity,ALLIED IRISH BANKS PLC,2019,1,5.433,Financials,Banks,13.35,19.9008,1.3354,3.9173,9.7049,9.6836,18.4,NA,NA
ALGN US Equity,ALIGN TECHNOLOGY INC,2019,1,233.57,Health Care,Health Care Equipment & Services,50.7026,60.1083,20.8648,13.5701,33.2534,33.2534,838.4615,120.473,23.7257
ALK US Equity,ALASKA AIR GROUP INC,2019,1,64.49,Consumer Services,Travel & Leisure,14.295,39.5898,4.0355,8.2729,12.1204,15.3654,-92.5781,46,7.7807
ALL US Equity,ALLSTATE CORP,2019,1,86.84,Financials,Nonlife Insurance,11.0545,6.2205,3.3052,13.8892,17.4946,15.2917,36.9318,NA,NA
ALLE US Equity,ALLEGION PLC,2019,1,85.69,Industrials,Electronic & Electrical Equipment,19.3153,19.9542,12.0408,19.9279,64.6613,82.8329,28.4211,142.3,19.3643
ALO FP Equity,ALSTOM,2019,1,36,Industrials,Industrial Engineering,14.7083,111.1519,5.9197,15.0956,21.4536,16.5642,88,251.41199999999998,4.9482
ALPHA GA Equity,ALPHA BANK AE,2019,1,0.911,Financials,Banks,20.7808,0.0902,-0.0174,-0.0484,-0.1206,1.3282,50,NA,NA
ALS FP Equity,ALSTOM,2019,1,1.55,Industrials,Industrial Engineering,NA,NA,5.9197,15.0956,21.4536,16.5642,88,251.41199999999998,4.9482
ALT FP Equity,ALTRAN TECHNOLOGIES SA,2019,1,8.37,Technology,Software & Computer Services,25.103,80.8232,2.403,4.3551,6.8276,11.2809,-83.3603,78.77461199999999,7.1995000000000005
ALT GY Equity,ALTANA AG,2019,1,16.25,Basic Materials,Chemicals,213.7717,13.074,7.5083,10.4311,10.886,10.911200000000001,11.7739,385.63501199999996,14.95
ALT SQ Equity,ALTADIS SA,2019,1,50,Consumer Goods,Tobacco,31.5894,NA,3.7862999999999998,11.3053,62.2581,76.785,-38.6174,567.412776,7.6032
ALTR US Equity,ALTAIR ENGINEERING INC - A,2019,1,32.01,Technology,Software & Computer Services,265.4077,69.2467,-13.0518,-40.2091,13.3418,13.3418,-16.2162,8.968,3.2973
ALU FP Equity,ALCATEL LUCENT SAS,2019,1,3.5,Technology,Technology Hardware & Equipment,6.9639,15.7207,7.1648,17.9022,37.4151,56.8164,-1.4511,-933.324,-1.1691
ALV GY Equity,ALLIANZ SE-REG,2019,1,186,Financials,Nonlife Insurance,10.612,8.6407,0.8014,8.1326,11.498,12.4662,28.8952,NA,NA
ALXN US Equity,ALEXION PHARMACEUTICALS INC,2019,1,121.41,Health Care,Pharmaceuticals & Biotechnology,20.1313,128.5332,1.1104,1.5782,1.6849,13.5393,322.8571,358.6,8.5504
AM FP Equity,DASSAULT AVIATION SA,2019,1,1350,Industrials,Aerospace & Defense,18.8623,9.6779,2.7358,10.0858,11.9259,12.7793,-65.3185,142.462208,5.4985
AM US Equity,ANTERO MIDSTREAM CORP,2019,1,13.68,Oil & Gas,"Oil Equipment, Services & Distribution",41.3072,29.9154,12.7251,16.0041,17.9612,19.7698,33.3333,126.046,43.8468
AMAT US Equity,APPLIED MATERIALS INC,2019,1,39.28,Technology,Technology Hardware & Equipment,9.2954,14.758,17.8157,25.9554,40.9316,56.4492,-2.1739,1016,27.7981
AMCC US Equity,APPLIED MICRO CIRCUITS CORP,2019,1,8.4,Technology,Technology Hardware & Equipment,385.1785,141.347,-21.8818,-27.8432,-27.8432,-27.9548,50,-4.719,-19.7881
AMD US Equity,ADVANCED MICRO DEVICES,2019,1,23.02,Technology,Technology Hardware & Equipment,73.6465,111.3153,7.0591,18.1611,34.0426,35.0213,66.6667,150,6.5822
AME US Equity,AMETEK INC,2019,1,72.76,Industrials,Electronic & Electrical Equipment,22.1654,19.9437,10.1306,13.9536,19.4477,17.6233,23.8806,265.266,21.6867
AMEAS FH Equity,AMER SPORTS OYJ,2019,1,38.76,Consumer Goods,Leisure Goods,36.6038,58.875,4.2695,NA,13.0313,14.9418,54.4333,128.2316,7.8067
AMG US Equity,AFFILIATED MANAGERS GROUP,2019,1,104.16,Financials,Financial Services,23.9066,5.0059,8.24,14.3805,19.6061,14.2485,4.4444,199.3,NA
AMGN US Equity,AMGEN INC,2019,1,184.78,Health Care,Pharmaceuticals & Biotechnology,14.2605,11.6638,11.4696,17.9758,44.4821,46.2924,3.5971,2382,43.2181
AMP US Equity,AMERIPRISE FINANCIAL INC,2019,1,121.55,Financials,Financial Services,8.757,7.3739,1.4739,19.3444,36.2255,36.898,225.641,920,NA
AMS SQ Equity,AMADEUS IT GROUP SA,2019,1,63.86,Technology,Software & Computer Services,26.7575,17.2394,11.6435,16.7151,33.4051,34.8465,8.9286,418.21639999999996,28.7367
AMT US Equity,AMERICAN TOWER CORP,2019,1,169.79,Financials,Real Estate Investment Trusts,62.0121,26.8124,3.6617,4.1916,22.2797,22.2855,18.5714,567.2,26.3108
AMUN FP Equity,AMUNDI SA,2019,1,50.5,Financials,Financial Services,11.8176,5.6419,4.7261,6.574,10.5906,11.5794,49.0066,702.032996,NA
AMZN US Equity,AMAZON.COM INC,2019,1,1692.85,Consumer Services,General Retailers,90.7556,48.6992,6.8534,13.7715,28.2719,26.5991,60.5195,3786,5.3331
AN US Equity,AUTONATION INC,2019,1,37.71,Consumer Services,General Retailers,8.63,32.1655,4.5291,7.3946,18.8689,16.7773,24,203.6,3.7349
ANA SQ Equity,ACCIONA SA,2019,1,82,Industrials,Construction & Materials,13.9115,358.5614,1.2381,3.8612,6.0003,6.3216,-76.1379,123.984,9.8983
ANDR AV Equity,ANDRITZ AG,2019,1,43.5,Industrials,Industrial Engineering,19.6585,34.5347,3.5729,10.6002,18.271,19.0727,-5.1724,87.616508,5.5724
ANDV US Equity,ANDEAVOR,2019,1,153.39,Oil & Gas,Oil & Gas Producers,16.9561,77.9392,7.4427,12.7601,22.4322,14.8216,1000,847,5.3837
ANDW US Equity,COMMSCOPE TECHNOLOGIES LLC,2019,1,14.99,Technology,Technology Hardware & Equipment,31.3333,562.3896,-6.842,-3.8118,-11.2687,4.9595,-5.2632,41.572,4.1973
ANET US Equity,ARISTA NETWORKS INC,2019,1,210.5,Technology,Software & Computer Services,23.6555,33.4972,10.2599,14.8856,15.0765,41.0109,22.2826,180.77,10.8274
ANF US Equity,ABERCROMBIE & FITCH CO-CL A,2019,1,21.41,Consumer Services,General Retailers,17.6099,6.9435,1.6918,3.4969,3.3099,7.2163,73.913,0.223,3.3402
ANGL ID Equity,IRISH BANK RESOLUTION CO/OLD,2019,1,0.23,Financials,Banks,0.2455,0.0675,-2.8048,-2.9816,-49.0062,-46.7823,-596.1348,NA,NA
ANSS US Equity,ANSYS INC,2019,1,162.67,Technology,Software & Computer Services,33.3948,29.6954,10.8028,13.1849,13.1849,14.5253,21.8391,93.024,33.6555
ANTM US Equity,ANTHEM INC,2019,1,297.71,Health Care,Health Care Equipment & Services,20.3058,29.7403,5.2774,9.1457,13.6251,14.3292,-65.8333,725,6.3318
AON US Equity,AON PLC,2019,1,153.76,Financials,Nonlife Insurance,22.6453,26.3463,2.9888,9.0924,16.3187,38.6254,-17.5676,262,14.0618
AOS US Equity,SMITH (A.O.) CORP,2019,1,47.67,Industrials,Construction & Materials,18.3453,22.475,14.1718,22.558,26.3949,26.692,476.9231,150.9,17.0959
APA US Equity,APACHE CORP,2019,1,33.45,Oil & Gas,Oil & Gas Producers,18.7387,166.4002,4.0133,8.7536,11.9948,8.9722,31.25,598,27.6301
APC US Equity,ANADARKO PETROLEUM CORP,2019,1,48.09,Oil & Gas,Oil & Gas Producers,21.0361,40.4798,3.5338,8.4041,15.1825,10.929,21.118,780,18.0609
APCC US Equity,ASIA PACIFIC ENERGY INC,2019,1,1e-4,Oil & Gas,Oil & Gas Producers,NA,NA,-91.9072,NA,NA,NA,NA,0.069,-13.8141
APD US Equity,AIR PRODUCTS & CHEMICALS INC,2019,1,161.77,Basic Materials,Chemicals,21.6389,39.2035,9.0531,12.9486,16.027,15.9047,122.5352,455,21.9287
APH US Equity,AMPHENOL CORP-CL A,2019,1,87.96,Industrials,Electronic & Electrical Equipment,24.0645,32.9522,12.0217,17.0136,30.1019,28.5707,15.3846,457.6,20.5669
APOL US Equity,APOLLO EDUCATION GROUP INC,2019,1,9.99,Consumer Services,General Retailers,24.0908,1160.8908,-0.9855,-1.8851,-1.8348,4.3254,-59.5745,8.404,-0.5969
APTV US Equity,APTIV PLC,2019,1,76,Consumer Goods,Automobiles & Parts,15.1736,26.6242,8.6576,15.5813,31.5774,40.8562,24.3232,355,10.2044
ARC US Equity,ARC DOCUMENT SOLUTIONS INC,2019,1,2.37,Industrials,Support Services,13.127,2.7315,-1.4179,8.2491,-3.4676,5.5832,12.5,4.75,4.2713
ARE US Equity,ALEXANDRIA REAL ESTATE EQUIT,2019,1,129.08,Financials,Real Estate Investment Trusts,37.5341,NA,3.4571,3.9215,7.0922,7.2606,265.4545,99.804,28.049
AREVA FP Equity,AREVA,2019,1,4.5,Utilities,Electricity,79.814,77.3493,0.0169,-44.3453,-26.8626,-9.3802,-117.8712,-340.95599999999996,-47.5106
ARG US Equity,AIRGAS INC,2019,1,142.98,Basic Materials,Chemicals,29.235,36.4173,5.5746,9.0711,16.0834,17.3396,-8.547,132.401,10.9284
ARGX BB Equity,ARGENX SE,2019,1,90,Health Care,Pharmaceuticals & Biotechnology,NA,27.8032,-14.6495,-16.538,-16.538,-16.538,-63.1579,-29.144275999999998,-130.395
ARL GY Equity,AAREAL BANK AG,2019,1,28.9,Financials,Financial Services,8.1189,1.6601,0.4238,0.6445,5.7551,5.4858,-12.766,188.272,NA
ARNC US Equity,ARCONIC INC,2019,1,18.64,Industrials,General Industrials,14.3234,140.5474,-1.6132,-7.6033,-5.7327,11.6778,43.4783,345,3.8442
ARO GY Equity,ARCANDOR AG,2019,1,0.0045,Consumer Services,General Retailers,7.0175,6.69,-5.6109,6.7243,-72.483,-67.5869,-187.5,-21.468747999999998,-0.5959
ARR FP Equity,APRR SA,2019,1,42.63,Industrials,Industrial Transportation,11.8677,7.9023,7.6685,9.9002,75.4991,75.2861,-1.0134,767.438,48.7741
ASF FP Equity,AUTOROUTES DU SUD DE LA FRAN,2019,1,49.8,Industrials,Industrial Transportation,26.1555,19.1712,7.9371,11.1295,219.0014,218.41,-20.1787,1224.5716,47.6707
ASH US Equity,ASHLAND GLOBAL HOLDINGS INC,2019,1,76.07,Basic Materials,Chemicals,24.4248,62.7623,1.3515,3.9043,3.347,5.6647,310.7492,27,5.5428
ASM NA Equity,ASM INTERNATIONAL NV,2019,1,42.36,Technology,Technology Hardware & Equipment,14.103,20.7692,17.4504,4.8955,19.0228,10.3003,18.75,32.144,14.6912
ASML NA Equity,ASML HOLDING NV,2019,1,154.6,Technology,Technology Hardware & Equipment,25.118,25.8084,13.524,10.9767,23.1213,23.2485,24.6667,936.6531999999999,27.0952
ASRNL NA Equity,ASR NEDERLAND NV,2019,1,37.36,Financials,Nonlife Insurance,8.0356,NA,1.5186,13.0076,19.4049,19.2659,-4.4444,NA,NA
AT US Equity,ATLANTIC POWER CORP,2019,1,2.5,Utilities,Electricity,NA,NA,-2.3941,NA,-123.5075,-56.9169,89.6552,4,-5.3273
AT1 GY Equity,AROUNDTOWN SA,2019,1,7.8,Financials,Real Estate Investment & Services,4.9562,190.3248,10.9625,13.4596,21.9451,6.4148,17.2414,542.5448,297.0512
ATC NA Equity,ALTICE EUROPE NV,2019,1,1.8599999999999999,Telecommunications,Fixed Line Telecommunications,4.8888,1.4604,0.8064,6.9531,-188.4771,-150.6339,75.8374,489.1628,6.7434
ATCT NA Equity,ALTICE SA,2019,1,116.1,Telecommunications,Fixed Line Telecommunications,994.809,73.7392,0.2375,6.5701,7.0938,-27.6937,127.4336,415.46119999999996,6.8165
ATE FP Equity,ALTEN SA,2019,1,85.55,Technology,Software & Computer Services,17.6674,34.3663,10.262,16.2797,18.1539,19.2316,1.81,115.126032,9.3124
ATI US Equity,ALLEGHENY TECHNOLOGIES INC,2019,1,26.94,Industrials,Aerospace & Defense,18.1515,13.5298,4.162,31.9103,12.27,11.459,3200,74.7,8.9483
ATL IM Equity,ATLANTIA SPA,2019,1,20.9,Industrials,Industrial Transportation,20.7594,8.9448,2.4535,NA,11.7043,10.7145,-41.0685,590.356704,42.6059
ATO FP Equity,ATOS SE,2019,1,61.8856,Technology,Software & Computer Services,13.4474,10.5045,4.6638,10.3359,13.4163,16.8448,7.4627,392.616,7.1819
ATRS AV Equity,ATRIUM EUROPEAN REAL ESTATE,2019,1,3.37,Financials,Real Estate Investment & Services,21.0491,36.9142,2.4608,2.6726,4.0884,5.514,-20.9877,91.72749599999999,59.1685
